INSTNM,CITY,STABBR,ZIP,INSTURL
Alabama A & M University,Normal,AL,35762,www.aamu.edu/
University of Alabama at Birmingham,Birmingham,AL,35294-0110,www.uab.edu
Amridge University,Montgomery,AL,36117-3553,www.amridgeuniversity.edu
University of Alabama in Huntsville,Huntsville,AL,35899,www.uah.edu
Alabama State University,Montgomery,AL,36104-0271,www.alasu.edu/email/index.aspx
The University of Alabama,Tuscaloosa,AL,35487-0166,www.ua.edu/
Central Alabama Community College,Alexander City,AL,35010,www.cacc.edu
Athens State University,Athens,AL,35611,www.athens.edu
Auburn University at Montgomery,Montgomery,AL,36117-3596,www.aum.edu
Auburn University,Auburn University,AL,36849,www.auburn.edu
Birmingham Southern College,Birmingham,AL,35254,www.bsc.edu/
Chattahoochee Valley Community College,Phenix City,AL,36869,www.cv.edu
Concordia College Alabama,Selma,AL,36701,www.ccal.edu/
South University-Montgomery,Montgomery,AL,36116,southuniversity.edu
Enterprise State Community College,Enterprise,AL,36330-1300,www.escc.edu
James H Faulkner State Community College,Bay Minette,AL,36507-2698,www.faulknerstate.edu
Faulkner University,Montgomery,AL,36109-3378,www.faulkner.edu
Gadsden State Community College,Gadsden,AL,35903,www.gadsdenstate.edu
New Beginning College of Cosmetology,Albertville,AL,35951,www.nbccosmetology.com
George C Wallace State Community College-Dothan,Dothan,AL,36303-9234,www.wallace.edu
George C Wallace State Community College-Hanceville,Hanceville,AL,35077-2000,www.wallacestate.edu
George C Wallace State Community College-Selma,Selma,AL,36703-2808,www.wccs.edu
Herzing University-Birmingham,Birmingham,AL,35209,www.herzing.edu/birmingham
Huntingdon College,Montgomery,AL,36106-2148,www.huntingdon.edu
Heritage Christian University,Florence,AL,35630-9977,www.hcu.edu
J F Drake State Community and Technical College,Huntsville,AL,35811,www.drakestate.edu
Jacksonville State University,Jacksonville,AL,36265,www.jsu.edu/
Jefferson Davis Community College,Brewton,AL,36426,www.jdcc.edu
Jefferson State Community College,Birmingham,AL,35215-3098,www.jeffstateonline.com
John C Calhoun State Community College,Tanner,AL,35671,www.calhoun.edu
Judson College,Marion,AL,36756,www.judson.edu
Lawson State Community College-Birmingham Campus,Birmingham,AL,35221-1717,www.lawsonstate.edu
University of West Alabama,Livingston,AL,35470,www.uwa.edu
Lurleen B Wallace Community College,Andalusia,AL,36420-1418,www.lbwcc.edu
Marion Military Institute,Marion,AL,36756-3207,www.marionmilitary.edu
Miles College,Fairfield,AL,35064-2621,www.miles.edu
University of Mobile,Mobile,AL,36613-2842,www.umobile.edu
University of Montevallo,Montevallo,AL,35115-6000,www.montevallo.edu
Northwest-Shoals Community College,Muscle Shoals,AL,35661,www.nwscc.edu
University of North Alabama,Florence,AL,35632-0001,www.una.edu
Northeast Alabama Community College,Rainsville,AL,35986,www.nacc.edu
Oakwood University,Huntsville,AL,35896,www.oakwood.edu
Alabama Southern Community College,Monroeville,AL,36460,www.ascc.edu
Prince Institute-Southeast,Montgomery,AL,36117,princeinstitute.edu
Reid State Technical College,Evergreen,AL,36401,www.rstc.edu
Bishop State Community College,Mobile,AL,36603-5898,www.bishop.edu
Samford University,Birmingham,AL,35229-2240,www.samford.edu
Selma University,Selma,AL,36701,selmauniversity.org
Shelton State Community College,Tuscaloosa,AL,35405-8522,www.sheltonstate.edu
Snead State Community College,Boaz,AL,35957-0734,www.snead.edu
University of South Alabama,Mobile,AL,36688-0002,www.southalabama.edu
Spring Hill College,Mobile,AL,36608-1791,www.shc.edu
Southeastern Bible College,Birmingham,AL,35224-2083,www.sebc.edu
Stillman College,Tuscaloosa,AL,35403,www.stillman.edu
Talladega College,Talladega,AL,35160,www.talladega.edu
H Councill Trenholm State Technical College,Montgomery,AL,36108-3199, Southern Association of Colleges and Schools Commission on Colleges
Troy University,Troy,AL,36082-0001,www.troy.edu
Troy University-Phenix City Campus,Phenix City,AL,368694419,http://www.troy.edu/locations/phenix-city-campus.html
Troy University-Montgomery Campus,Montgomery,AL,361034419,http://www.troy.edu/locations/montgomery-campus.html
Troy University-Dothan Campus,Dothan,AL,363034419,http://www.troy.edu/locations/dothan-campus.html
Troy University-eTROY,Troy,AL,360825327,http://www.troy.edu/etroy/online-learning.html
Troy University-Global Campus,Troy,AL,360825327,http://trojan.troy.edu/globalcampus/
Tuskegee University,Tuskegee,AL,36088-1920,www.tuskegee.edu
United States Sports Academy,Daphne,AL,36526-7055,www.ussa.edu
Bevill State Community College,Jasper,AL,35501,www.bscc.edu
University of Alaska Anchorage,Anchorage,AK,99508,www.uaa.alaska.edu
Alaska Bible College,Palmer,AK,99645,www.akbible.edu/
University of Alaska Fairbanks,Fairbanks,AK,99775-7500,www.uaf.edu
University of Alaska Southeast,Juneau,AK,99801-8697,www.uas.alaska.edu
Alaska Pacific University,Anchorage,AK,99508,www.alaskapacific.edu
AVTEC-Alaska's Institute of Technology,Seward,AK,99664-0889,www.avtec.edu/
Charter College-Anchorage,Anchorage,AK,99508,www.chartercollege.edu
Prince William Sound Community College,Valdez,AK,99686-0097,www.pwscc.edu
Alaska Career College,Anchorage,AK,99507-1033,www.alaskacareercollege.edu
Everest College-Phoenix,Phoenix,AZ,85021-1641,www.everestcollegephoenix.edu
Collins College,Phoenix,AZ,85040, Accrediting Council for Independent Colleges and Schools
Empire Beauty School-Paradise Valley,Phoenix,AZ,85032,www.empire.edu
Empire Beauty School-Tucson,Tucson,AZ,85716,www.empire.edu
Thunderbird School of Global Management,Glendale,AZ,85306-6000,www.thunderbird.edu
Global MBA Latin American Managers Program Satellite Campus,Doral,FL,331667601,NULL
American Indian College of the Assemblies of God Inc,Phoenix,AZ,85021,www.aicag.edu/
American Institute of Technology,Phoenix,AZ,85043-4729,www.ait-schools.com
Carrington College-Phoenix,Phoenix,AZ,85051-4063, Accrediting Council for Independent Colleges and Schools
Carrington College-Mesa,Mesa,AZ,85210, Accrediting Council for Independent Colleges and Schools
Carrington College-Tucson,Tucson,AZ,85705-5885, Accrediting Council for Independent Colleges and Schools
College America-Flagstaff,Flagstaff,AZ,86004,www.collegeamerica.edu
Arizona Academy of Beauty-East,Tucson,AZ,85712,www.arizonaacademy.com
Arizona Automotive Institute,Glendale,AZ,85301-3579,www.aai.edu
Brookline College-Phoenix,Phoenix,AZ,85021,www.brooklinecollege.edu
Arizona State University-Tempe,Tempe,AZ,85287,www.asu.edu/
Arizona Western College,Yuma,AZ,85365-8834,www.azwestern.edu
University of Arizona,Tucson,AZ,85721-0066,www.arizona.edu
Southwest University of Visual Arts-Tucson,Tucson,AZ,85716,www.suva.edu
Brillare Hairdressing Academy,Scottsdale,AZ,85254,www.brillare.com/
Central Arizona College,Coolidge,AZ,85128-9030,www.centralaz.edu
Brown Mackie College-Tucson,Tucson,AZ,85712, Accrediting Council for Independent Colleges and Schools
Charles of Italy Beauty College,Lake Havasu City,AZ,86403,www.charlesofitaly.edu
Cochise College,Douglas,AZ,85607-6190,www.cochise.edu
Empire Beauty School-Flagstaff,Flagstaff,AZ,86004,www.empire.edu
Empire Beauty School-Chandler,Chandler,AZ,85224,www.empire.edu
Cortiva Institute-Tucson,Tucson,AZ,85710,www.cortiva.com/
Avalon School of Cosmetology-Mesa,Mesa,AZ,85210,www.avalon.com
Eastern Arizona College,Thatcher,AZ,85552-0769,www.eac.edu
Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,86301-3720,www.erau.edu
Frank Lloyd Wright School of Architecture,Scottsdale,AZ,85261-4430,www.taliesin.edu
Glendale Community College,Glendale,AZ,85302,www.gccaz.edu
Grand Canyon University,Phoenix,AZ,85017,www.gcu.edu
Anthem College-Phoenix,Phoenix,AZ,85014,www.anthem.edu
International Academy of Hair Design,Mesa,AZ,85202-4887,www.intlacademyaz.com/
Kaplan College-Phoenix,Phoenix,AZ,85029,www.kaplancollege.com/phoenix-az/
GateWay Community College,Phoenix,AZ,85034,www.gatewaycc.edu
Mesa Community College,Mesa,AZ,85202,www.mesacc.edu
ITT Technical Institute-Tucson,Tucson,AZ,85704-5829,www.itt-tech.edu
ITT Technical Institute-Tempe,Tempe,AZ,85282,www.itt-tech.edu
Mohave Community College,Kingman,AZ,86409-1238,www.mohave.edu
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Phoenix,AZ,85027,www.uti.edu/
Dine College,Tsaile,AZ,86556,www.dinecollege.edu
Northern Arizona University,Flagstaff,AZ,86011-4132,nau.edu/
Northland Pioneer College,Holbrook,AZ,86025-0610,www.npc.edu
Ottawa University-Phoenix,Phoenix,AZ,85021,www.ottawa.edu
Phoenix College,Phoenix,AZ,85013,www.phoenixcollege.edu
Cortiva Institute-Scottsdale,Scottsdale,AZ,85257,www.cortiva.com/
University of Phoenix-Phoenix Campus,Tempe,AZ,85282-2371,www.phoenix.edu
Pima Community College,Tucson,AZ,85709-1275,www.pima.edu
Pima Medical Institute-Tucson,Tucson,AZ,85716,pmi.edu
Pima Medical Institute-Albuquerque,Albuquerque,NM,87110,pmi.edu
Prescott College,Prescott,AZ,86301,www.prescott.edu
Refrigeration School Inc,Phoenix,AZ,85034-1816,refrigerationschool.com
Rio Salado College,Tempe,AZ,85281,www.rio.maricopa.edu
Roberto-Venn School of Luthiery,Phoenix,AZ,85007,www.roberto-venn.com
Hair Academy of Safford,Safford,AZ,85546,hairacademy.com
Scottsdale Community College,Scottsdale,AZ,85256,www.scottsdalecc.edu
South Mountain Community College,Phoenix,AZ,85042,www.southmountaincc.edu
Arizona Christian University,Phoenix,AZ,85032-7097,www.arizonachristian.edu
Tucson College,Tucson,AZ,85711,www.tucsoncollege.edu
Universal Technical Institute of Arizona Inc,Avondale,AZ,85323,www.uti.edu
Western International University,Tempe,AZ,85282,www.west.edu
Empire Beauty School-NW Phoenix,Glendale,AZ,85051,www.empire.edu
Yavapai College,Prescott,AZ,86301,www.YC.EDU
University of Arkansas at Little Rock,Little Rock,AR,72204,ualr.edu/www/
University of Arkansas for Medical Sciences,Little Rock,AR,72205-7199,www.uams.edu
ABC Beauty College Inc,Arkadelphia,AR,71923,www.abc-beautycollege.com
Arkansas Baptist College,Little Rock,AR,72202-6068,www.arkansasbaptist.edu
Arkansas Beauty School,Little Rock,AR,72209,arkbeautyschool.com
Arkansas Beauty College,Russellville,AR,72801,arkansasbeautycollegerussellville.com
Lyon College,Batesville,AR,72501,www.lyon.edu
Arkansas College of Barbering and Hair Design,North Little Rock,AR,72114,www.arkansascollegeofbarbering.com
Arkansas College of Barbering and Hair Design,Little Rock,AR,72204,http://www.arkansascollegeofbarbering.com
Arthur's Beauty College Inc-Fort Smith,Fort Smith,AR,72901-3342,www.arthursbeautycollege.com
University of Arkansas,Fayetteville,AR,72701,www.uark.edu
University of Arkansas at Pine Bluff,Pine Bluff,AR,71601,www.uapb.edu
Arkansas State University-Beebe,Beebe,AR,72012-1000,www.asub.edu
Arkansas State University-Main Campus,Jonesboro,AR,72401,www2.astate.edu
Arkansas Tech University,Russellville,AR,72801-2222, Council on Occupational Education
University of Arkansas at Monticello,Monticello,AR,71656, North Central Association of Colleges and Schools The Higher Learning Commission
Arthur's Beauty College Inc-Jacksonville,Jacksonville,AR,72076,arthursbeautycollege.com
Baptist Health Schools-Little Rock,Little Rock,AR,72210-2820,www.bhslr.edu
Black River Technical College,Pocahontas,AR,72455,www.blackrivertech.edu
University of Central Arkansas,Conway,AR,72035-0001,www.uca.edu
Central Baptist College,Conway,AR,72034,www.cbc.edu
Cossatot Community College of the University of Arkansas,De Queen,AR,71832,www.cccua.edu/
Crowley's Ridge College,Paragould,AR,72450,www.crc.edu/
Crowley's Ridge Technical Institute,Forrest City,AR,72335-0925,www.crti.tec.ar.us
East Arkansas Community College,Forrest City,AR,72335-2204,WWW.EACC.EDU
Eastern College of Health Vocations-Little Rock,Little Rock,AR,72205,www.easterncollege.edu
Imagine-Paul Mitchell Partner School,North Little Rock,AR,72117,www.pmlittlerock.com
National Park Community College,Hot Springs,AR,71913, North Central Association of Colleges and Schools The Higher Learning Commission
University of Arkansas Community College-Batesville,Batesville,AR,72503-3350,www.uaccb.edu
Harding University,Searcy,AR,72143,www.harding.edu
Harding School of Theology,Memphis,TN,381175499,http://hst.edu/
Henderson State University,Arkadelphia,AR,71999-0001,www.hsu.edu
Hendrix College,Conway,AR,72032-3080,www.hendrix.edu
Hot Springs Beauty College,Hot Springs,AR,71901,hotspringsbeautycollege.com
Jefferson Regional Medical Center School of Nursing,Pine Bluff,AR,71603,www.jrmc.org
John Brown University,Siloam Springs,AR,72761,www.jbu.edu
Lees School of Cosmetology,North Little Rock,AR,72114-3800,LSCTraining.com
Career Academy of Hair Design,Springdale,AR,72764-7128,www.beautynwa.com
Career Academy of Hair Design-Siloam Springs,Siloam Springs,AR,727614217,http://www.beautynwa.com
Career Academy of Hair Design-Rogers,Rogers,AR,727562102,http://www.beautynwa.com
Career Academy of Hair Design-Fayetteville,Fayetteville,AR,727014217,http://www.beautynwa.com
Marsha Kay Beauty College,Mountain Home,AR,72653-3164,marshakaybeautycollege.com
Academy of Salon and Spa,Fort Smith,AR,72901,www.academysalonspa.com
Mid-South Community College,West Memphis,AR,72301-3829,www.midsouthcc.edu
Arkansas Northeastern College,Blytheville,AR,72316-1109,www.anc.edu
Margaret's Hair Academy Inc,Monticello,AR,71655,NULL
New Tyler Barber College Inc,North Little Rock,AR,72114-4973,newtylerbarbercollege.com
North Arkansas College,Harrison,AR,72601-5508,www.northark.edu
Northwest Technical Institute,Springdale,AR,72764,www.nwti.edu
Ouachita Baptist University,Arkadelphia,AR,71998-0001,www.obu.edu
College of the Ouachitas,Malvern,AR,72104-0816,www.coto.edu
Ozarka College,Melbourne,AR,72556-0010,www.ozarka.edu
University of the Ozarks,Clarksville,AR,72830,www.ozarks.edu
University of Arkansas Community College-Morrilton,Morrilton,AR,72110,www.uaccm.edu
Philander Smith College,Little Rock,AR,72202-3799,www.philander.edu
Phillips Community College of the University of Arkansas,Helena,AR,72342-0785,www.pccua.edu
Southeast Arkansas College,Pine Bluff,AR,71603,www.seark.edu
Professional Cosmetology Education Center,El Dorado,AR,71730-4009,www.professionalcosmetologyeducation.edu
Pulaski Technical College,North Little Rock,AR,72118-3347,www.pulaskitech.edu
University of Arkansas Community College-Hope,Hope,AR,71801,www.uacch.edu
Rich Mountain Community College,Mena,AR,71953,www.rmcc.edu
Paul Mitchell the School-Arkansas,Fayetteville,AR,72703,www.pmtsarkansas.com
Searcy Beauty College Inc,Searcy,AR,72143,searcybeautycollege.com/
Shorter College,N Little Rock,AR,72114,www.shortercollege.org/
Williams Baptist College,Walnut Ridge,AR,72476,www.wbcoll.edu
South Arkansas Community College,El Dorado,AR,71731-7010,www.southark.edu
Southern Arkansas University Main Campus,Magnolia,AR,71753,WWW.SAUMAG.EDU
Southern Arkansas University Tech,Camden,AR,71701-1906,www.sautech.edu
Velvatex College of Beauty Culture,Little Rock,AR,72202-5452,www.velvatexcollege.com
University of Arkansas-Fort Smith,Fort Smith,AR,72913-3649,uafs.edu/
Academy of Art University,San Francisco,CA,94105, Western Association of Schools and Colleges Senior College and University Commission
ITT Technical Institute-Rancho Cordova,Rancho Cordova,CA,95670-6034,www.itt-tech.edu
Academy of Chinese Culture and Health Sciences,Oakland,CA,94612,www.acchs.edu
The Academy of Radio and TV Broadcasting,Huntington Beach,CA,92647,WWW.ARBRADIO.COM
Avalon School of Cosmetology-Alameda,Alameda,CA,94501,avalon.edu
College of Alameda,Alameda,CA,94501,www.peralta.edu
Allan Hancock College,Santa Maria,CA,93454-6399,www.hancockcollege.edu/
American Academy of Dramatic Arts-Los Angeles,Los Angeles,CA,90028,WWW.AADA.EDU
American Baptist Seminary of the West,Berkeley,CA,94704-3029,www.absw.edu
American Film Institute Conservatory,Los Angeles,CA,90027-1625, Western Association of Schools and Colleges Senior College and University Commission
American Beauty College,West Covina,CA,91790,www.american-beauty-college.com
American Career College-Los Angeles,Los Angeles,CA,90004, Accrediting Commission of Career Schools and Colleges
American Conservatory Theater,San Francisco,CA,94108-5834,www.act-sf.org
American River College,Sacramento,CA,95841-4286,www.arc.losrios.edu/
Everest College-Hayward,Hayward,CA,94541,www.bryman.edu
Antelope Valley College,Lancaster,CA,93536-5426,www.avc.edu
Art Center College of Design,Pasadena,CA,91103,www.artcenter.edu
Associated Technical College-Los Angeles,Los Angeles,CA,90017-1604,www.atcla.edu
Associated Technical College-San Diego,San Diego,CA,92101,www.associatedtechcollege.com
Azusa Pacific University,Azusa,CA,91702-7000,www.apu.edu
Bakersfield College,Bakersfield,CA,93305-1299,www.bakersfieldcollege.edu/
Barstow Community College,Barstow,CA,92311,www.barstow.edu
Bellus Academy-National City,National City,CA,91950,www.bellusacademy.edu
Bethesda University of California,Anaheim,CA,92801, Transnational Association of Christian Colleges and Schools Accreditation Commission
Biola University,La Mirada,CA,90639-0001,www.biola.edu
Brooks Institute,Santa Barbara,CA,93101, Western Association of Schools and Colleges Senior College and University Commission
Brownson Technical School,Anaheim,CA,92805,www.brownson.edu
Bryan University,Los Angeles,CA,90010,www.bryancollege.edu
Butte College,Oroville,CA,95965-8399,www.butte.edu
Phillips Graduate Institute,Chatsworth,CA,91311,pgi.edu
California Institute of Integral Studies,San Francisco,CA,94103,www.ciis.edu
Cabrillo College,Aptos,CA,95003,www.cabrillo.edu
California Baptist University,Riverside,CA,92504-3297,www.calbaptist.edu
California College of the Arts,San Francisco,CA,94107-2247,www.cca.edu
University of California-Hastings College of Law,San Francisco,CA,94102-4978,www.uchastings.edu
California Institute of Technology,Pasadena,CA,91125,www.caltech.edu
California Lutheran University,Thousand Oaks,CA,91360-2787, Western Association of Schools and Colleges Senior College and University Commission
California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,93407,calpoly.edu
Alliant International University,San Diego,CA,92131-1799,www.alliant.edu
Alliant International University-Fresno,Fresno,CA,937271360,http://www.alliant.edu
Alliant International University-Los Angeles,Alhambra,CA,918031360,http://www.alliant.edu
Alliant International University-San Francisco,San Francisco,CA,941331221,http://www.alliant.edu
Alliant International University-Irvine,Irvine,CA,926061221,http://www.alliant.edu
Alliant International University-Sacramento,Sacramento,CA,958331221,http://www.alliant.edu
California State University-Bakersfield,Bakersfield,CA,93311-1099,www.csub.edu
California State University-Stanislaus,Turlock,CA,95382-0299,www.csustan.edu
California State University-San Bernardino,San Bernardino,CA,92407-2397,www.csusb.edu
California State Polytechnic University-Pomona,Pomona,CA,91768,www.csupomona.edu
California State University-Chico,Chico,CA,95929-0150,www.csuchico.edu
California State University-Dominguez Hills,Carson,CA,90747-0005,www.csudh.edu
California State University-Fresno,Fresno,CA,93740,www.csufresno.edu
California State University-Fullerton,Fullerton,CA,92831-3599,www.fullerton.edu
California State University-East Bay,Hayward,CA,94542,www.csueastbay.edu
California State University-Long Beach,Long Beach,CA,90840-0115,www.csulb.edu
California State University-Los Angeles,Los Angeles,CA,90032,www.calstatela.edu
California State University-Northridge,Northridge,CA,91330,www.csun.edu
California State University-Sacramento,Sacramento,CA,95819-2694,www.csus.edu
University of California-Berkeley,Berkeley,CA,94720,www.berkeley.edu
University of California-Davis,Davis,CA,95616-8678,www.ucdavis.edu
University of California-Irvine,Irvine,CA,92697,www.uci.edu/
University of California-Los Angeles,Los Angeles,CA,90095-1405,www.ucla.edu/
University of California-Riverside,Riverside,CA,92521,WWW.UCR.EDU
University of California-San Diego,La Jolla,CA,92093,www.ucsd.edu
University of California-San Francisco,San Francisco,CA,94143-0244,www.ucsf.edu
University of California-Santa Barbara,Santa Barbara,CA,93106,www.ucsb.edu
University of California-Santa Cruz,Santa Cruz,CA,95064-1011,www.ucsc.edu/
Sofia University,Palo Alto,CA,94303,www.sofia.edu
California Beauty School,Modesto,CA,95354,www.calbeautycollege.com
California Christian College,Fresno,CA,93703-3599,www.calchristiancollege.edu
California College San Diego,San Diego,CA,92111-1009,www.cc-sd.edu
Le Cordon Bleu College of Culinary Arts-San Francisco,San Francisco,CA,94103, Accrediting Council for Independent Colleges and Schools
California Hair Design Academy,La Mesa,CA,91941-5055,chdaschools.com
California Institute of the Arts,Valencia,CA,91355-2397,www.calarts.edu
California Maritime Academy,Vallejo,CA,94590, Western Association of Schools and Colleges Senior College and University Commission
California Western School of Law,San Diego,CA,92101-3046,www.cwsl.edu
Canada College,Redwood City,CA,94061-1099,canadacollege.edu
College of the Canyons,Santa Clarita,CA,91355-1899,www.canyons.edu
Career Academy of Beauty,Garden Grove,CA,92845,CAofB.com
Casa Loma College-Van Nuys,Van Nuys,CA,91405,www.casalomacollege.edu
Casa Loma College-Hawthorne,Hawthorne,CA,902503327,http://www.casalomacollege.edu
CET-San Diego,San Diego,CA,92102,www.cetweb.org/index.php
CET-Sobrato,San Jose,CA,95110,cetweb.org
CET-El Centro,El Centro,CA,92243,cetweb.org
CET-San Bernardino,San Bernardino,CA,92408,cetweb.org
CET-Watsonville,Watsonville,CA,95076,www.cetweb.org
CET-Gilroy,Gilroy,CA,95020,cetweb.org
CET-Salinas,Salinas,CA,93901,cetweb.org
Cerritos College,Norwalk,CA,90650-6298,www.cerritos.edu
Cerro Coso Community College,Ridgecrest,CA,93555-9571,cerrocoso.edu
Chabot College,Hayward,CA,94545,www.chabotcollege.edu
Chaffey College,Rancho Cucamonga,CA,91737-3002,www.chaffey.edu
Chapman University,Orange,CA,92866,www.chapman.edu
Charles R Drew University of Medicine and Science,Los Angeles,CA,90059,www.cdrewu.edu
Concordia University-Irvine,Irvine,CA,92612-3203,www.cui.edu
San Diego Christian College,El Cajon,CA,92019-1157,www.sdcc.edu
Church Divinity School of the Pacific,Berkeley,CA,94709-1211,www.cdsp.edu
Citrus College,Glendora,CA,91741-1899,www.citruscollege.edu
Citrus Heights Beauty College,Citris Heights,CA,95610-1410,www.chbeautycollege.com
City College of San Francisco,San Francisco,CA,94112-1898,www.ccsf.edu
Claremont Graduate University,Claremont,CA,91711-6160,www.cgu.edu
Claremont McKenna College,Claremont,CA,91711-6400,www.claremontmckenna.edu/
Milan Institute-Visalia,Visalia,CA,93277, Council on Occupational Education
Clovis Adult Education,Clovis,CA,93611,www.clovisadultschool.com
Coastline Community College,Fountain Valley,CA,92708-2597,www.coastline.edu
Cogswell College,Sunnyvale,CA,94089,www.cogswell.edu
Coleman University,San Diego,CA,92123-1506, Western Association of Schools and Colleges Senior College and University Commission
COBA Academy,Orange,CA,92866,www.coba.edu
Western University of Health Sciences,Pomona,CA,91766-1854,www.westernu.edu
Columbia College,Sonora,CA,95370,www.gocolumbia.edu/
Columbia College-Hollywood,Tarzana,CA,91356-1411, Western Association of Schools and Colleges Senior College and University Commission
El Camino College-Compton Center,Compton,CA,90221-5393,www.compton.edu
Contra Costa College,San Pablo,CA,94806-3195,www.contracosta.edu
Cosumnes River College,Sacramento,CA,95823-5799,www.crc.losrios.edu/
Crafton Hills College,Yucaipa,CA,92339-1799,www.craftonhills.edu
Cuesta College,San Luis Obispo,CA,93403-8106,WWW.CUESTA.EDU
Cuyamaca College,El Cajon,CA,92019,www.cuyamaca.edu
Cypress College,Cypress,CA,90630-5897,www.cypresscollege.edu
De Anza College,Cupertino,CA,95014,www.deanza.edu/
Marinello Schools of Beauty-Hemet,Hemet,CA,92545,www.marinello.com
Marinello Schools of Beauty-Bell,Bell,CA,90201,http://www.marinello.com
Marinello Schools of Beauty-City of Industry,City of Industry,CA,91748,http://www.marinello.com
Marinello Schools of Beauty-Paramount,Paramount,CA,90723,http://www.marinello.com
Marinello Schools of Beauty-Huntington Beach,Huntington Beach,CA,92646,http://www.marinello.com
Marinello Schools of Beauty-Layton,Layton,UT,84041,http://www.marinello.com
Marinello Schools of Beauty-Ogden,Ogden,UT,84405,http://www.marinello.com
Marinello School of Beauty-Cathedral City,Cathedral City,CA,92234,http://www.marinello.com
Marinello School of Beauty-Murrieta,Murrieta,CA,92563,http://www.marinello.com
Marinello School of Beauty-Napa,Napa,CA,94559,http://www.marinello.com
International School of Beauty Inc,Palm Desert,CA,92260-2740,internationalschoolofbeauty.com
Dell'Arte International School of Physical Theatre,Blue Lake,CA,95525-0816,www.dellarte.com/school
College of the Desert,Palm Desert,CA,92260,collegeofthedesert.edu
Design Institute of San Diego,San Diego,CA,92121,WWW.DISD.EDU
Diablo Valley College,Pleasant Hill,CA,94523,www.dvc.edu
Dominican University of California,San Rafael,CA,94901-2298,www.dominican.edu
Dominican School of Philosophy & Theology,Berkeley,CA,94708-1816, Western Association of Schools and Colleges Senior College and University Commission
East Los Angeles College,Monterey Park,CA,91754-6099,www.elac.edu/index.htm
Marinello Schools of Beauty-Santa Clara,Santa Clara,CA,95050,www.marinello.com
Marinello School of Beauty,Seaside,CA,93955,http://www.marinello.com
Marinello School of Beauty-San Mateo,San Mateo,CA,94401,http://www.marinello.com
Marinello School of Beauty-Hayward,Hayward,CA,94541,http://www.marinello.com
Marinello School of Beauty-Castro Valley,Castro Valley,CA,94546,http://www.marinello.com
El Camino Community College District,Torrance,CA,90506,www.elcamino.edu
Elegance International,Hollywood,CA,90028-6106,ei.edu/
Marinello Schools of Beauty-Burbank,Burbank,CA,91502,www.marinello.com
Marinello School of Beauty-Palmdale,Palmdale,CA,935504,http://www.marinello.com
Marinello Schools of Beauty-Moreno Valley,Moreno Valley,CA,92553,www.marinello.com
Marinello School of Beauty-San Rafael,San Rafael,CA,949013224,http://www.marinello.com
Emperor's College of Traditional Oriental Medicine,Santa Monica,CA,90403,www.emperors.edu
Empire College School of Business,Santa Rosa,CA,95403-2126,www.empcol.edu
Evergreen Valley College,San Jose,CA,95135-1598,www.evc.edu
Fashion Institute of Design & Merchandising-Los Angeles,Los Angeles,CA,90015-1421, Western Association of Schools and Colleges Senior College and University Commission
Fashion Institute of Design & Merchandising-San Francisco,San Francisco,CA,94108-5805, Western Association of Schools and Colleges Senior College and University Commission
Fashion Institute of Design & Merchandising-Orange County,Irvine,CA,92614-5610, Western Association of Schools and Colleges Senior College and University Commission
Feather River Community College District,Quincy,CA,95971-9124,www.frc.edu
Federico Beauty Institute,Sacramento,CA,95834,federico.edu
Fielding Graduate University,Santa Barbara,CA,93105-3538,www.fielding.edu
Five Branches University,Santa Cruz,CA,95062,www.fivebranches.edu
San Jose Campus,San Jose,CA,951282541,http://www.fivebranches.edu/
Hair California Beauty Academy,Orange,CA,92867,www.hairca.com
Foothill College,Los Altos Hills,CA,94022,www.foothill.edu
Franciscan School of Theology,Berkeley,CA,94709-1208, Western Association of Schools and Colleges Senior College and University Commission
Franciscan School of Theology,Oceanside,CA,92057, Western Association of Schools and Colleges Senior College and University Commission
Fredrick and Charles Beauty College,Eureka,CA,95501,www.fandcbeauty.com
Fresno City College,Fresno,CA,93741,www.fresnocitycollege.edu
Fresno Pacific University,Fresno,CA,93702-4709,www.fresno.edu
Fuller Theological Seminary in California,Pasadena,CA,91182, Western Association of Schools and Colleges Senior College and University Commission
Fullerton College,Fullerton,CA,92832-2095,www.fullcoll.edu
Gavilan College,Gilroy,CA,95020,www.gavilan.edu
Gemological Institute of America-Carlsbad,Carlsbad,CA,92008, Distance Education Accrediting Commission
Glendale Community College,Glendale,CA,91208-2894,www.glendale.edu
Glendale Career College,Glendale,CA,91203, Accrediting Council for Continuing Education and Training
Golden Gate University-San Francisco,San Francisco,CA,94105-2968,www.ggu.edu
Golden Gate University-Los Angeles,Los Angeles,CA,900175418,http://www.ggu.edu/
Golden Gate University-Seattle,Seattle,WA,981012218,http://www.ggu.edu/
Golden Gate University-Silicon Valley,Santa Clara,CA,950542218,http://www.ggu.edu/
Golden West College,Huntington Beach,CA,92647-2710,www.goldenwestcollege.edu
Graduate Theological Union,Berkeley,CA,94709, Western Association of Schools and Colleges Senior College and University Commission
Grossmont College,El Cajon,CA,92020-1799,www.grossmont.edu/
Salon Success Academy-San Bernardino,San Bernardino,CA,92405,www.gotobeautyschool.com
